module,type,name,res_id,src,value,comments
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.view_galaxyacad_session_kanban,"<br/>
                                Start date:",,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.view_galaxyacad_session_kanban,"<br/>
                                duration:",,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_form_view,About,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_active,Active,,
galaxyacademy,model,"ir.actions.act_window,name",galaxyacademy.launch_session_wizard,Add Attendees,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.wizard_form_view,Add Attendees,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_res_partner_session_ids,Attended Sessions,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_res_users_session_ids,Attended Sessions,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_attendee_ids,Attendees,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_attendee_ids,Attendees,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_attendees_count,Attendees count,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.wizard_form_view,Cancel,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_color,Color,,
galaxyacademy,model,"ir.ui.menu,name",galaxyacademy.configuration_menu,Configuration,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_form_view,Confirm,,
galaxyacademy,selection,"galaxyacademy.session,state",0,Confirmed,,
galaxyacademy,model,"ir.actions.act_window,name",galaxyacademy.contact_cat_list_action,Contact Tags,,
galaxyacademy,model,"ir.ui.menu,name",galaxyacademy.contact_cat_menu,Contact Tags,,
galaxyacademy,model,"ir.actions.act_window,name",galaxyacademy.contact_list_action,Contacts,,
galaxyacademy,model,"ir.ui.menu,name",galaxyacademy.contact_menu,Contacts,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_course_id,Course,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_form_view,Course Form,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_tree_view,Course Tree,,
galaxyacademy,model,"ir.actions.act_window,name",galaxyacademy.course_list_action,Courses,,
galaxyacademy,model,"ir.ui.menu,name",galaxyacademy.courses_menu,Courses,,
galaxyacademy,model,"ir.actions.act_window,help",galaxyacademy.course_list_action,Create the first course,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_create_uid,Created by,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_create_uid,Created by,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_create_uid,Created by,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_create_date,Created on,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_create_date,Created on,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_create_date,Created on,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.view_galaxyacad_session_kanban,Delete,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_description,Description,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_form_view,Description,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_display_name,Display Name,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_display_name,Display Name,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_display_name,Display Name,,
galaxyacademy,selection,"galaxyacademy.session,state",0,Done,,
galaxyacademy,selection,"galaxyacademy.session,state",0,Draft,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_duration,Duration,,
galaxyacademy,model,"ir.model.fields,help",galaxyacademy.field_galaxyacademy_session_duration,Duration in days,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_hours,Duration in hours,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_end_date,End Date,,
galaxyacademy,model,"ir.ui.menu,name",galaxyacademy.galaxyacademy_menu,Galaxy Academy,,
galaxyacademy,model,"ir.ui.menu,name",galaxyacademy.main_galaxyacademy_menu,Galaxy Academy,,
galaxyacademy,model,"res.groups,name",galaxyacademy.group_manager,GalaxyAcademy / Manager,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_form_view,General,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_search_view,Group By,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_id,ID,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_id,ID,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_id,ID,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_instructor_id,Instructor,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_res_partner_instructor,Instructor,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_res_users_instructor,Instructor,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course___last_update,Last Modified on,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session___last_update,Last Modified on,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard___last_update,Last Modified on,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_write_uid,Last Updated by,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_write_uid,Last Updated by,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_write_uid,Last Updated by,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_write_date,Last Updated on,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_write_date,Last Updated on,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_write_date,Last Updated on,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_form_view,Mark as done,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_search_view,My Courses,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_name,Name,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_seats,Number of seats,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.galaxyacademy_session_graph_view,Participations by Courses,,
galaxyacademy,model,"ir.model,name",galaxyacademy.model_res_partner,Partner,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_form_view,Registered sessions,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_form_view,Reset to draft,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_responsible_id,Responsible,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_search_view,Responsible,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_form_view,Schedule,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_calendar_view,Session Calendar,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_form_view,Session Form,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_gantt_view,Session Gantt,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.session_tree_view,Session Tree,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.view_galaxyacad_session_kanban,Session name:,,
galaxyacademy,model,"ir.actions.act_window,name",galaxyacademy.session_list_action,Sessions,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_session_ids,Sessions,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_wizard_session_ids,Sessions,,
galaxyacademy,model,"ir.ui.menu,name",galaxyacademy.session_menu,Sessions,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_form_view,Sessions,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.partner_instructor_form_view,Sessions,,
galaxyacademy,model,"ir.actions.server,name",galaxyacademy.set_session_to_confirmed,Set session to Confirmed,,
galaxyacademy,model,"ir.actions.server,name",galaxyacademy.set_session_to_done,Set session to Done,,
galaxyacademy,model,"ir.actions.server,name",galaxyacademy.set_session_to_draft,Set session to Draft,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_start_date,Start date,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_state,State,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.wizard_form_view,Subscribe,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_session_taken_seats,Taken seats,,
galaxyacademy,model,"res.partner.category,name",galaxyacademy.teacher1,Teacher / Level 1,,
galaxyacademy,model,"res.partner.category,name",galaxyacademy.teacher2,Teacher / Level 2,,
galaxyacademy,sql_constraint,galaxyacademy.course,0,The course title must be unique,,
galaxyacademy,sql_constraint,galaxyacademy.course,0,The title of the course should not be the description,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.course_form_view,This is an example of notebooks,,
galaxyacademy,model,"ir.model.fields,field_description",galaxyacademy.field_galaxyacademy_course_name,Title,,
galaxyacademy,model,"ir.model,name",galaxyacademy.model_galaxyacademy_course,galaxyacademy.course,,
galaxyacademy,model,"ir.model,name",galaxyacademy.model_galaxyacademy_session,galaxyacademy.session,,
galaxyacademy,model,"ir.model,name",galaxyacademy.model_galaxyacademy_wizard,galaxyacademy.wizard,,
galaxyacademy,model,"ir.ui.view,arch_db",galaxyacademy.wizard_form_view,or,,
